State,City,Population,Black,American Indian/Alaskan Native,Asian,Native Hawaiian / Pacific Islander,Hispanic/Latino,White,Other,Two or More
 Alabama,Putnam,100.0,84.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0
 Alabama,Providence,268.0,23.0,0.0,2.0,0.0,0.0,243.0,0.0,0.0
 Alabama,Prichard,22439.0,18927.0,49.0,14.0,0.0,35.0,3320.0,12.0,102.0
 Alabama,Priceville,2943.0,85.0,70.0,10.0,0.0,69.0,2695.0,6.0,8.0
 Alabama,Prattville,34706.0,6587.0,90.0,540.0,8.0,1412.0,25411.0,487.0,675.0
 Alabama,Powell,1037.0,43.0,21.0,0.0,0.0,4.0,958.0,0.0,11.0
 Alabama,Pollard,236.0,86.0,0.0,0.0,0.0,59.0,90.0,10.0,1.0
 Alabama,Point Clear,2495.0,971.0,0.0,0.0,0.0,29.0,1478.0,0.0,17.0
 Alabama,Crossville,2312.0,5.0,65.0,20.0,0.0,341.0,1865.0,307.0,16.0
 Alabama,Cuba,509.0,143.0,0.0,3.0,0.0,0.0,359.0,0.0,4.0
 Alabama,Cullman,15014.0,140.0,78.0,103.0,0.0,938.0,13484.0,119.0,216.0
 Alabama,Cullomburg,117.0,73.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0
 Alabama,Cusseta,151.0,0.0,0.0,1.0,0.0,0.0,150.0,0.0,0.0
 Alabama,Dadeville,3181.0,1228.0,42.0,0.0,0.0,7.0,1904.0,0.0,0.0
 Alabama,Daleville,5188.0,1320.0,57.0,128.0,0.0,518.0,2954.0,216.0,211.0
 Alabama,Daphne,23559.0,3426.0,0.0,432.0,0.0,634.0,18797.0,48.0,342.0
 Alabama,Dauphin Island,1319.0,9.0,14.0,4.0,0.0,37.0,1215.0,15.0,25.0
 Alabama,Daviston,271.0,26.0,0.0,0.0,0.0,27.0,218.0,7.0,0.0
 Alabama,Dayton,25.0,6.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
 Alabama,Deatsville,1218.0,179.0,2.0,20.0,0.0,33.0,922.0,0.0,62.0
 Alabama,Decatur,55598.0,12128.0,349.0,481.0,93.0,6891.0,34559.0,1284.0,1582.0
 Alabama,Deer Park,203.0,52.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0
 Alabama,Delta,259.0,13.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0
 Alabama,Ranburne,441.0,11.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0
 Alabama,Ashland,2667.0,591.0,26.0,0.0,0.0,217.0,1809.0,117.0,25.0
 Alabama,Ashford,2316.0,445.0,20.0,0.0,0.0,12.0,1720.0,2.0,129.0
 Alabama,Arley,476.0,0.0,0.0,1.0,0.0,0.0,475.0,0.0,0.0
 Alabama,Hanceville,3195.0,147.0,0.0,0.0,0.0,92.0,2842.0,18.0,138.0
 Alabama,Hammondville,587.0,5.0,0.0,0.0,0.0,2.0,554.0,0.0,26.0
 Alabama,Hamilton,6814.0,603.0,0.0,0.0,0.0,241.0,5939.0,19.0,167.0
