State,City,Population,Unemployment Count
 Alaska,South Van Horn,581.0,103.0
 Alaska,Stebbins,547.0,186.0
 Alaska,Steele Creek,6272.0,1546.0
 Alaska,Sterling,6054.0,1968.0
 Alaska,Stevens Village,25.0,15.0
 Alaska,Stony River,40.0,13.0
 Alaska,Sunrise,15.0,0.0
 Alaska,Susitna,0.0,0.0
 Alaska,Susitna North,1404.0,563.0
 Alaska,Sutton-Alpine,1602.0,1058.0
 Alaska,Takotna,49.0,11.0
 Alaska,Talkeetna,616.0,153.0
 Alaska,Tanacross,127.0,62.0
 Alaska,Tanaina,9640.0,2476.0
 Alaska,Tatitlek,86.0,26.0
 Alaska,Haines,1955.0,428.0
 Alaska,Salcha,984.0,283.0
 Alaska,Gulkana,115.0,42.0
 Alaska,Evansville,16.0,7.0
 Alaska,Eureka Roadhouse,0.0,0.0
 Alaska,Ester,3008.0,745.0
 Alaska,Emmonak,835.0,241.0
 Alaska,Elim,328.0,94.0
 Alaska,Elfin Cove,24.0,2.0
 Alaska,Ekwok,78.0,21.0
 Alaska,Eielson AFB,2630.0,292.0
 Alaska,Egegik,68.0,24.0
 Alaska,Eek,455.0,134.0
 Alaska,Excursion Inlet,40.0,0.0
 Alaska,Edna Bay,0.0,0.0
 Alaska,Eagle,89.0,30.0
 Alaska,Dry Creek,84.0,20.0
 Alaska,Dot Lake Village,54.0,16.0
 Alaska,Dot Lake,0.0,0.0
 Alaska,Diomede,43.0,6.0
 Alaska,Metlakatla,1661.0,465.0
 Alaska,Dillingham,2307.0,536.0
 Alaska,Diamond Ridge,1140.0,298.0
 Alaska,Deltana,2311.0,626.0
 Alaska,Delta Junction,1045.0,251.0
 Alaska,Eagle Village,17.0,9.0
 Alaska,Gustavus,496.0,105.0
 Alaska,Fairbanks,32193.0,6544.0
 Alaska,Farmers Loop,4149.0,860.0
 Alaska,Grayling,171.0,49.0
 Alaska,Goodnews Bay,230.0,81.0
 Alaska,Golovin,132.0,15.0
 Alaska,Goldstream,3862.0,747.0
 Alaska,Glennallen,366.0,81.0
 Alaska,Glacier View,249.0,95.0
 Alaska,Gateway,5610.0,1339.0
 Alaska,Game Creek,36.0,7.0
 Alaska,Gambell,718.0,211.0
 Alaska,Galena,554.0,142.0
 Alaska,False Pass,37.0,2.0
 Alaska,Gakona,205.0,52.0
 Alaska,Fritz Creek,1910.0,532.0
 Alaska,Fox River,649.0,174.0
 Alaska,Fox,558.0,192.0
 Alaska,Four Mile Road,10.0,5.0
 Alaska,Fort Yukon,555.0,164.0
 Alaska,Fort Greely,391.0,65.0
 Alaska,Flat,0.0,0.0
 Alaska,Fishhook,5323.0,1229.0
 Alaska,Ferry,6.0,6.0
 Alaska,Farm Loop,1081.0,298.0
 Alaska,Funny River,776.0,311.0
 Alaska,Minto,257.0,70.0
